datum,zeit,raum,kurs,dozent,anmerkungen
05.04.2022,13:45,NR 1.6 (Johannisberger Str. 38),P WS 2021-3,Aaron,Der erste Kurs
05.04.2022,15:30,R 1.4 (Rüdesheimer Str. 50),P WS 2021-4,Aaron,
